time,open,high,low,close,volume,spread,real_volume
2015-12-22,431.6,437.45,427.23,429.7,18541,0,0
2015-12-23,429.77,439.39,428.48,436.9,14691,0,0
2015-12-24,436.92,453.32,436.92,448.95,20771,0,0
2015-12-28,416.16,423.63,411.05,415.13,24131,0,0
2015-12-29,415.03,427.28,412.69,425.76,18451,0,0
2015-12-30,426.09,428.84,414.77,420.24,22291,0,0
2015-12-31,420.11,425.95,414.0,425.42,18591,0,0
2016-01-04,425.07,429.43,422.75,427.74,10691,0,0
2016-01-05,427.69,429.06,423.53,426.25,9621,0,0
2016-01-06,426.26,426.39,420.6,423.89,9211,0,0
2016-01-07,423.88,453.11,423.57,450.94,32021,0,0
2016-01-08,450.93,458.74,438.89,445.36,34131,0,0
2016-01-11,442.54,445.12,433.0,441.63,23331,0,0
2016-01-12,441.75,441.78,428.28,428.53,13781,0,0
2016-01-13,428.59,431.55,418.51,426.54,24031,0,0
2016-01-14,426.65,427.95,421.05,423.55,10701,0,0
2016-01-15,423.57,423.67,395.64,399.19,31681,0,0
2016-01-18,373.8,382.26,368.16,379.48,22521,0,0
2016-01-19,379.47,380.74,369.95,370.75,12861,0,0
2016-01-20,371.0,416.98,366.81,412.69,58651,0,0
2016-01-21,412.68,414.82,399.19,403.48,22061,0,0
2016-01-22,403.51,404.01,368.55,373.69,41101,0,0
2016-01-25,396.57,396.57,379.86,384.06,20911,0,0
2016-01-26,384.45,391.76,381.98,388.95,15061,0,0
2016-05-18,447.94,448.35,446.45,446.51,2371,0,0
2016-05-19,446.33,447.72,429.05,430.07,21081,0,0
2016-05-20,430.06,438.1,429.1,435.24,12821,0,0
2016-05-23,431.59,436.99,430.5,436.78,7791,0,0
2016-05-24,436.8,440.38,435.99,438.68,6901,0,0
2016-05-25,438.59,443.6,438.52,442.49,6261,0,0
2016-05-26,442.48,446.92,440.91,446.23,8271,0,0
2016-05-27,446.39,471.51,446.39,464.89,31741,0,0
2016-05-30,511.25,528.68,504.37,521.03,38841,0,0
2016-05-31,520.71,542.24,514.5,526.16,50031,0,0
2016-06-01,526.15,536.84,520.01,530.61,29201,0,0
2016-06-02,530.27,533.93,524.87,532.0,16391,0,0
2016-06-03,532.47,570.95,530.34,570.41,43281,0,0
2016-06-06,567.41,580.13,567.41,578.31,14541,0,0
2016-06-07,578.32,588.25,556.95,570.77,55051,0,0
2016-06-08,570.78,577.92,565.83,576.55,18411,0,0
2016-06-09,576.53,577.06,567.0,569.71,13301,0,0
2016-06-10,569.7,573.99,566.02,572.44,13201,0,0
2016-06-13,664.25,717.21,649.97,698.12,100611,0,0
2016-06-14,698.13,698.2,654.22,678.7,68531,0,0
2016-06-15,679.0,689.77,666.59,688.93,36431,0,0
2016-06-16,688.98,766.57,688.98,761.19,82971,0,0
2016-06-17,761.2,771.72,700.13,743.8,125781,0,0
2016-06-20,754.5,757.21,718.99,722.25,44191,0,0
2016-06-21,722.2,722.2,619.03,659.54,143681,0,0
2016-06-22,659.84,671.31,582.07,594.9,113541,0,0
2016-06-23,594.89,626.6,536.14,617.92,157891,0,0
2016-06-24,617.91,677.66,615.97,645.07,96221,0,0
2016-06-27,624.26,651.96,612.41,651.5,51861,0,0
2016-06-28,651.75,659.01,630.13,638.85,44861,0,0
2016-06-29,638.57,638.57,615.45,629.02,36691,0,0
2016-06-30,629.29,664.76,622.61,661.14,52451,0,0
2016-07-01,661.64,677.71,653.82,669.63,39791,0,0
2016-07-04,653.32,676.24,634.73,673.52,62821,0,0
2016-07-05,673.53,676.18,656.75,662.05,27381,0,0
2016-07-06,662.09,672.87,656.96,668.47,25441,0,0
2016-07-07,668.44,672.2,600.01,633.13,109071,0,0
2016-07-08,633.14,654.21,629.2,653.37,29791,0,0
2016-07-11,642.84,652.95,633.95,642.37,37531,0,0
2016-07-12,642.38,672.06,640.11,658.0,48281,0,0
2016-07-13,658.02,663.3,645.95,647.64,24321,0,0
2016-07-14,647.63,658.7,645.31,653.7,20711,0,0
2016-07-15,653.71,661.72,652.5,661.52,10631,0,0
2016-07-18,673.03,675.91,660.2,666.78,25171,0,0
2016-07-19,666.73,669.68,660.5,667.85,17241,0,0
2016-07-20,668.82,668.97,655.51,661.33,19431,0,0
2016-07-21,661.34,661.36,654.11,657.62,10781,0,0
2016-07-22,657.32,660.3,643.82,650.28,25921,0,0
2016-07-25,654.66,655.97,646.55,648.46,12641,0,0
2016-07-26,648.31,650.49,639.16,644.72,19071,0,0
2016-07-27,644.95,653.59,640.78,648.35,22221,0,0
2016-07-28,648.17,651.8,646.87,648.49,9541,0,0
2016-07-29,648.48,651.46,647.01,650.13,7251,0,0
2016-08-01,617.12,622.03,597.64,599.36,31021,0,0
2016-08-02,599.37,606.99,469.91,534.48,209271,0,0
2016-08-03,534.99,563.95,516.59,557.7,72011,0,0
2016-08-04,557.71,577.26,546.52,571.58,47611,0,0
2016-08-05,571.14,572.19,556.98,568.53,27811,0,0
2016-08-08,586.64,588.08,577.79,585.07,19011,0,0
2016-08-09,585.08,585.86,574.08,577.65,16131,0,0
2016-08-10,577.61,596.0,574.57,584.98,35491,0,0
2016-08-11,584.95,591.72,579.26,579.67,19641,0,0
2016-08-12,579.66,584.92,575.04,578.46,18561,0,0
2016-08-15,562.18,567.72,548.93,558.87,34271,0,0
2016-08-16,558.77,573.75,557.37,568.97,22561,0,0
2016-08-17,568.98,571.84,560.11,564.82,19301,0,0
2016-08-18,564.83,569.36,563.22,564.97,12141,0,0
2016-08-19,564.99,568.87,546.31,565.52,44591,0,0
2016-08-22,572.25,579.97,567.86,576.39,20081,0,0
2016-08-23,576.4,579.0,570.55,574.75,15251,0,0
2016-08-24,574.76,576.18,569.56,572.18,10661,0,0
2016-08-25,572.17,572.67,565.58,569.65,11661,0,0
2016-08-26,569.64,576.09,568.18,571.3,14161,0,0
2016-08-29,566.61,568.98,564.24,565.12,7991,0,0
2016-08-30,565.08,570.5,563.03,569.47,10551,0,0
2016-08-31,569.48,570.34,562.47,564.76,11021,0,0
2016-09-01,564.7,566.57,560.96,565.33,10591,0,0
2016-09-02,565.32,568.1,561.43,565.73,12931,0,0
2016-09-05,599.34,601.07,587.01,598.26,27041,0,0
2016-09-06,598.27,603.52,595.01,602.92,12371,0,0
2016-09-07,602.91,609.4,599.01,608.39,15301,0,0
2016-09-08,608.19,622.85,605.95,619.29,22701,0,0
2016-09-09,619.42,620.78,607.2,615.37,23111,0,0
2016-09-12,599.21,603.01,596.01,600.95,12261,0,0
2016-09-13,600.96,603.61,597.45,602.25,11031,0,0
2016-09-14,602.18,604.29,599.99,602.3,8481,0,0
2016-09-15,601.94,602.98,596.47,599.98,11061,0,0
2016-09-16,599.97,602.79,597.75,600.37,9681,0,0
2016-09-20,601.08,601.99,595.01,595.01,7891,0,0
2016-09-21,594.73,594.86,586.28,588.82,11251,0,0
2016-09-22,588.83,590.41,587.23,588.84,6351,0,0
2016-09-23,588.77,595.54,587.17,595.38,10131,0,0
2016-09-26,592.17,601.27,590.45,599.71,14101,0,0
2016-09-27,599.7,602.33,594.16,598.67,15311,0,0
2016-09-28,598.68,599.18,595.5,597.46,6141,0,0
2016-09-29,597.45,599.99,594.93,599.03,8541,0,0
2016-09-30,599.04,600.17,597.16,599.15,5911,0,0
2016-10-03,602.25,606.16,600.44,605.92,7771,0,0
2016-10-04,605.93,606.09,599.0,601.1,9351,0,0
2016-10-05,601.0,605.99,599.95,602.25,10831,0,0
2016-10-06,602.24,604.5,601.28,603.91,4771,0,0
2016-10-07,603.92,610.44,601.51,607.67,14111,0,0
2016-10-10,606.7,610.33,606.25,610.19,4671,0,0
2016-10-11,610.11,633.0,608.83,632.65,25801,0,0
2016-10-12,632.27,633.93,623.21,628.39,17561,0,0
2016-10-13,628.72,629.92,626.04,628.61,7651,0,0
2016-10-14,628.62,633.62,625.07,631.57,14151,0,0
2016-10-17,632.5,633.63,626.48,630.23,12031,0,0
2016-10-18,630.24,631.8,626.08,629.58,10781,0,0
2016-10-19,629.59,631.83,618.61,621.91,18761,0,0
2016-10-20,621.87,624.3,619.25,622.51,9461,0,0
2016-10-21,622.52,626.04,621.75,623.75,7351,0,0
2016-10-24,643.14,646.13,634.5,641.33,21451,0,0
2016-10-25,641.32,651.58,640.67,645.78,17361,0,0
2016-10-26,645.77,671.0,645.75,668.87,27401,0,0
2016-10-27,668.93,679.87,661.29,679.03,27061,0,0
2016-10-28,679.04,681.23,674.23,679.01,13971,0,0
2016-10-31,688.73,700.3,677.65,690.06,43971,0,0
2016-11-01,690.32,729.89,689.9,720.6,49701,0,0
2016-11-02,721.54,735.74,711.64,734.64,35101,0,0
2016-11-03,735.08,739.1,665.45,679.03,91251,0,0
2016-11-04,679.02,700.96,675.13,690.1,40581,0,0
2016-11-07,702.86,703.17,692.3,696.86,15741,0,0
2016-11-08,697.62,706.94,695.03,702.74,18701,0,0
2016-11-09,702.73,734.39,699.61,714.85,57441,0,0
2016-11-10,714.86,715.93,702.47,708.48,20541,0,0
2016-11-11,708.73,714.6,706.27,710.07,15321,0,0
2016-11-14,694.95,699.54,691.17,698.41,13281,0,0
2016-11-15,698.4,710.5,697.02,705.4,19961,0,0
2016-11-16,705.39,736.6,702.44,733.71,40001,0,0
2016-11-17,733.59,743.49,726.53,729.75,30081,0,0
2016-11-18,730.15,746.59,725.78,736.39,35381,0,0
2016-11-21,721.06,733.13,721.06,730.84,14361,0,0
2016-11-22,730.83,743.99,725.05,742.42,26291,0,0
2016-11-23,742.41,743.86,723.87,734.18,31751,0,0
2016-11-24,734.36,735.14,723.18,729.64,19201,0,0
2016-11-25,729.66,729.66,722.32,729.23,14251,0,0
2016-11-28,721.08,726.44,718.29,724.31,13071,0,0
2016-11-29,724.32,727.14,715.33,724.4,23541,0,0
2016-11-30,724.38,738.35,720.95,736.06,23121,0,0
2016-12-01,736.08,748.94,734.45,745.55,19511,0,0
